"編號","管制編號","裁處時間","管轄縣市","裁處書字號","違反時間","違反法令","裁罰金額","是否訴願","審議機關","訴願結果","陳情結果","違規人名稱","裁處公司名稱","事業名稱","地址","縣市","鄉鎮","行業別","所屬工業區","列管類別","機構地址","東經","北緯","更正後X","更正後Y","列管狀況","事業別","鄉鎮別","流域別"
75,"F15097002277","2015/1/6","新竹縣","30-104-010003","2014/10/15","水污染防治法第7條第1項，水污染防治法第18條",270000,"否","","","","佳陞建設股份有限公司-新竹縣竹北市莊敬段54地號土地集合住宅新建工程(103)府建字第00123號","佳陞建設股份有限公司","","","","","","","","",,,,,"","","",""
76,"A34097007829","2016/12/7","新竹縣","30-105-120001","2016/9/25","水污染防治法第7條第1項",1344000,"否","","","","合眾建築經理股份有限公司(莊敬段546地號)","合眾建築經理股份有限公司","","","","","","","","",,,,,"","","",""
77,"B23097003105","2016/11/15","新竹縣","30-105-110003","2016/9/2","水污染防治法第7條第1項，水污染防治法第18條，水污染防治措施及檢測申報管理辦法第10條",756000,"否","","","","盛大建設股份有限公司-盛大建設竹北市莊敬段550地號等22筆新建工程(103)府建字第00033號","盛大建設股份有限公司","","","","","","","","",,,,,"","","",""
78,"J55B5130","2016/5/12","新竹縣","30-105-050008","2016/2/2","水污染防治法第22條，水污染防治措施及檢測申報管理辦法第93條第1項第4款",6000,"否","","","","竹北市成?自辦農村社區土地重劃區社區管理委員會","竹北市成?自辦農村社區土地重劃區社區管理委員會","竹北市成?自辦農村社區土地重劃區社區管理委員會","新竹縣竹北市竹北段１５２地號","新竹縣","竹北市","暫無分類","非屬工業區類","水污染;","",,,,,"","","",""
79,"A35A4351","2017/4/25","新竹縣","30-106-040007","2017/2/23","水污染防治法第22條，水污染防治措施及檢測申報管理辦法第93條第1項，水污染防治措施及檢測申報管理辦法第94條第1項",6000,"否","","","","文生開發股份有限公司","文生開發股份有限公司","","","","","","","","",,,,,"","","",""
80,"J55B7730","2016/5/26","新竹縣","30-105-050018","2016/3/28","水污染防治法第7條第1項，水污染防治法第181條第1項",182000,"否","","","","新竹縣竹北市東華自辦市地重劃區重劃會","新竹縣竹北市東華自辦市地重劃區重劃會","新竹縣竹北市東華自辦市地重劃區重劃會","新竹縣竹北市高鐵七路６號","新竹縣","竹北市","暫無分類","非屬工業區類","水污染;","",,,,,"","","",""
81,"J5600405","2017/4/17","新竹縣","30-106-040003","2017/2/2","水污染防治措施及檢測申報管理辦法第93條第1項，水污染防治法第22條",6000,"否","","","","邱林訪珠(即寶生牧場)","寶生牧場","寶生牧場","新竹縣關西鎮下南片段四三九地號","新竹縣","關西鎮","畜牧業(豬飼育業)","非屬工業區類","水污染;","新竹縣關西鎮下南片段439地號",261788,2744990,261788,2744990,"屬於水污法定義範圍內之列管事業","畜牧業","關西鎮","鳳山溪"
82,"J5600432","2015/1/22","新竹縣","30-104-010025","2014/12/8","水污染防治法第18條",10000,"否","","","","呂清浪畜牧場","呂清浪畜牧場","呂清浪畜牧場","新竹縣關西鎮新力里五鄰五三號","新竹縣","關西鎮","畜牧業(豬飼育業)","非屬工業區類","水污染;","新竹縣關西鎮下橫坑段192-1、193、195、799-1、949地號",261592,2741881,261592,2741881,"屬於水污法定義範圍內之列管事業","畜牧業","關西鎮","鳳山溪"
83,"J5600950","2016/8/2","新竹縣","30-105-080001","2016/5/1","水污染防治法第22條，水污染防治措施及檢測申報管理辦法第93條第1項第2款",6000,"否","","","","利汎科技股份有限公司","利汎科技股份有限公司","利汎科技股份有限公司","新竹縣關西鎮大同里水坑４０號","新竹縣","關西鎮","其他電子零組件製造業(未分類其他電子零組件製造業)","非屬工業區類","空氣污染;水污染;廢棄物;毒性化學物質;","新竹縣關西鎮大同里13鄰水坑40號",264930,2744561,264930,2744561,"屬於水污法定義範圍內之列管事業","晶圓製造及半導體製造業","關西鎮","鳳山溪"
84,"J5600950","2016/6/2","新竹縣","30-105-060001","2016/3/31","水污染防治法第7條第1項",108000,"否","","","","利汎科技股份有限公司","利汎科技股份有限公司","利汎科技股份有限公司","新竹縣關西鎮大同里水坑４０號","新竹縣","關西鎮","其他電子零組件製造業(未分類其他電子零組件製造業)","非屬工業區類","空氣污染;水污染;廢棄物;毒性化學物質;","新竹縣關西鎮大同里13鄰水坑40號",264930,2744561,264930,2744561,"屬於水污法定義範圍內之列管事業","晶圓製造及半導體製造業","關西鎮","鳳山溪"
85,"J5600950","2015/4/30","新竹縣","30-104-040019","2015/2/10","水污染防治法第7條第1項",110000,"否","","","","利汎科技股份有限公司","利汎科技股份有限公司","利汎科技股份有限公司","新竹縣關西鎮大同里水坑４０號","新竹縣","關西鎮","其他電子零組件製造業(未分類其他電子零組件製造業)","非屬工業區類","空氣污染;水污染;廢棄物;毒性化學物質;","新竹縣關西鎮大同里13鄰水坑40號",264930,2744561,264930,2744561,"屬於水污法定義範圍內之列管事業","晶圓製造及半導體製造業","關西鎮","鳳山溪"
86,"A42097006811","2015/4/16","新竹縣","30-104-040006","2015/2/25","水污染防治法第7條第1項",170000,"否","","","","交通部台灣區國道高速公路北區工程處關西服務區","交通部台灣區國道高速公路局北區工程處","","","","","","","","",,,,,"","","",""
87,"J5604298","2016/4/26","新竹縣","30-105-040011","2016/1/12","水污染防治法第7條第1項",117000,"否","","","","詠業科技股份有限公司","詠業科技股份有限公司","詠業科技股份有限公司","新竹縣關西鎮大同里水坑４１號","新竹縣","關西鎮","其他電子零組件製造業(未分類其他電子零組件製造業)","非屬工業區類","空氣污染;水污染;廢棄物;","新竹縣關西鎮大同里水坑41號",266764,2746756,266764,2746756,"屬於水污法定義範圍內之列管事業","其他工業","關西鎮","鳳山溪"
88,"J5604298","2015/12/15","新竹縣","30-104-120009","2015/9/16","水污染防治法第7條第1項",170000,"否","","","","詠業科技股份有限公司","詠業科技股份有限公司","詠業科技股份有限公司","新竹縣關西鎮大同里水坑４１號","新竹縣","關西鎮","其他電子零組件製造業(未分類其他電子零組件製造業)","非屬工業區類","空氣污染;水污染;廢棄物;","新竹縣關西鎮大同里水坑41號",266764,2746756,266764,2746756,"屬於水污法定義範圍內之列管事業","其他工業","關西鎮","鳳山溪"
89,"J5604298","2015/8/10","新竹縣","30-104-080003","2015/6/2","水污染防治法第7條第1項",80000,"否","","","","詠業科技股份有限公司","詠業科技股份有限公司","詠業科技股份有限公司","新竹縣關西鎮大同里水坑４１號","新竹縣","關西鎮","其他電子零組件製造業(未分類其他電子零組件製造業)","非屬工業區類","空氣污染;水污染;廢棄物;","新竹縣關西鎮大同里水坑41號",266764,2746756,266764,2746756,"屬於水污法定義範圍內之列管事業","其他工業","關西鎮","鳳山溪"
90,"J5604298","2014/7/16","新竹縣","30-103-070005","2014/5/28","水污染防治法第7條第1項",140000,"否","","","","詠業科技股份有限公司","詠業科技股份有限公司","詠業科技股份有限公司","新竹縣關西鎮大同里水坑４１號","新竹縣","關西鎮","其他電子零組件製造業(未分類其他電子零組件製造業)","非屬工業區類","空氣污染;水污染;廢棄物;","新竹縣關西鎮大同里水坑41號",266764,2746756,266764,2746756,"屬於水污法定義範圍內之列管事業","其他工業","關西鎮","鳳山溪"
91,"J5604314","2013/12/3","新竹縣","30-102-120004","2013/5/29","水污染防治法第7條第1項",22000,"否","","","","綠色海牧場","綠色海牧場","綠色海牧場","新竹縣關西鎮牛欄河段一九○之十地號","新竹縣","關西鎮","畜牧業(牛飼育業)","非屬工業區類","水污染;","新竹縣關西鎮牛欄河段190-10地號",268873,2745608,268873,2745608,"屬於水污法定義範圍內之列管事業","畜牧業","關西鎮","鳳山溪"
92,"J5604458","2017/6/30","臺南市","32-106-060004","2017/2/21","土壤及地下水污染整治法第7條第5項",200000,"否","","","","峻源股份有限公司","峻源股份有限公司","峻源股份有限公司","新竹縣關西鎮南新里新城１之１、１之７號","新竹縣","關西鎮","廢棄物處理業(有害廢棄物處理業)","非屬工業區類","空氣污染;水污染;廢棄物;毒性化學物質;","新竹縣關西鎮南新里新城1-1、1-7號",267447,2739400,267447,2739400,"屬於水污法定義範圍內之列管事業","「廢棄物焚化廠」或其他廢棄物處理廠(場)","關西鎮","鳳山溪"
93,"J5604458","2017/4/13","新竹縣","30-106-040002","2017/2/3","水污染防治法第22條，水污染防治措施及檢測申報管理辦法第93條第1項",6000,"否","","","","峻源股份有限公司","峻源股份有限公司","峻源股份有限公司","新竹縣關西鎮南新里新城１之１、１之７號","新竹縣","關西鎮","廢棄物處理業(有害廢棄物處理業)","非屬工業區類","空氣污染;水污染;廢棄物;毒性化學物質;","新竹縣關西鎮南新里新城1-1、1-7號",267447,2739400,267447,2739400,"屬於水污法定義範圍內之列管事業","「廢棄物焚化廠」或其他廢棄物處理廠(場)","關西鎮","鳳山溪"
94,"J5604458","2015/6/25","新竹縣","30-104-060014","2015/4/8","水污染防治措施及檢測申報管理辦法第39條，水污染防治法第18條",200000,"否","","","","峻源股份有限公司","峻源股份有限公司","峻源股份有限公司","新竹縣關西鎮南新里新城１之１、１之７號","新竹縣","關西鎮","廢棄物處理業(有害廢棄物處理業)","非屬工業區類","空氣污染;水污染;廢棄物;毒性化學物質;","新竹縣關西鎮南新里新城1-1、1-7號",267447,2739400,267447,2739400,"屬於水污法定義範圍內之列管事業","「廢棄物焚化廠」或其他廢棄物處理廠(場)","關西鎮","鳳山溪"
95,"J5604458","2014/9/17","新竹縣","30-103-090003","2014/6/27","水污染防治法第18條",60000,"否","","","","峻源股份有限公司","峻源股份有限公司","峻源股份有限公司","新竹縣關西鎮南新里新城１之１、１之７號","新竹縣","關西鎮","廢棄物處理業(有害廢棄物處理業)","非屬工業區類","空氣污染;水污染;廢棄物;毒性化學物質;","新竹縣關西鎮南新里新城1-1、1-7號",267447,2739400,267447,2739400,"屬於水污法定義範圍內之列管事業","「廢棄物焚化廠」或其他廢棄物處理廠(場)","關西鎮","鳳山溪"
96,"J5604458","2014/5/20","新竹縣","30-103-050019","2013/12/11","水污染防治法第14條第1項，水污染防治法第7條第1項",170000,"否","","","","峻源股份有限公司","峻源股份有限公司","峻源股份有限公司","新竹縣關西鎮南新里新城１之１、１之７號","新竹縣","關西鎮","廢棄物處理業(有害廢棄物處理業)","非屬工業區類","空氣污染;水污染;廢棄物;毒性化學物質;","新竹縣關西鎮南新里新城1-1、1-7號",267447,2739400,267447,2739400,"屬於水污法定義範圍內之列管事業","「廢棄物焚化廠」或其他廢棄物處理廠(場)","關西鎮","鳳山溪"
97,"J5604485","2015/4/9","新竹縣","30-104-040005","2015/2/25","水污染防治法第7條第1項",170000,"否","","","資料鍵入錯誤","交通部台灣區國道高速公路北區工程處關西服務區","交通部台灣區國道高速公路北區工程處關西服務區","交通部台灣區國道高速公路局北區工程處關西服務區","新竹縣關西鎮東安里上３屯１４號","新竹縣","關西鎮","娛樂及休閒服務業(其他娛樂及休閒服務業)","非屬工業區類","水污染;廢棄物;","",,,,,"","","",""
98,"J56A1017","2013/1/8","新竹縣","30-102-010001","2012/11/14","水污染防治法第7條第1項",22000,"否","","","","勝源牧場","勝源牧場","勝源牧場","新竹縣關西鎮石岡子段四五八地號","新竹縣","關西鎮","暫無分類","","水污染;","新竹縣關西鎮石光里石岡子段458地號",262522,2745264,262522,2745264,"屬於水污法定義範圍內之列管事業","畜牧業","關西鎮","鳳山溪"
99,"A35097021919","2015/12/4","新竹縣","30-104-120004","2015/9/30","水污染防治法第7條第1項",110000,"是","環保署訴願會","原處分撤銷","","遠東新世紀股份有限公司化學纖維總廠","遠東新世紀股份有限公司","","","","","","","","",,,,,"","","",""
100,"A35097021919","2012/10/16","新竹縣","30-101-100001","2012/8/7","水污染防治法第7條第1項",110000,"否","","","","遠東新世紀股份有限公司化學纖維總廠","遠東新世紀股份有限公司","","","","","","","","",,,,,"","","",""
101,"A35A0359","2016/8/11","新竹縣","30-105-080011","2016/5/18","水污染防治法第22條，水污染防治措施及檢測申報管理辦法第93條",6000,"否","","","","遠東新世紀股份有限公司化學纖維總廠","遠東新世紀股份有限公司","","","","","","","","",,,,,"","","",""
102,"A35A0359","2014/7/4","新竹縣","30-103-070004","2014/5/8","水污染防治法第7條第1項",110000,"否","","","","遠東新世紀股份有限公司化學纖維總廠","遠東新世紀股份有限公司","","","","","","","","",,,,,"","","",""
103,"J5700240","2014/10/7","新竹縣","30-103-100002","2014/9/2","水污染防治法第18條",10000,"否","","","資料鍵入錯誤","泉辰股份有限公司新埔廠","泉辰股份有限公司新埔廠","泉辰股份有限公司新埔廠","新竹縣新埔鎮下寮里１４鄰義民路三段６０１巷２０弄１號","新竹縣","新埔鎮","其他紙製品製造業(未分類其他紙製品製造業)","非屬工業區類","空氣污染;水污染;廢棄物;","新竹縣新埔鎮下寮里14鄰義民路3段601巷20弄1號",252929,2748692,252929,2748692,"屬於水污法定義範圍內之列管事業","造紙業","新埔鎮","鳳山溪"
104,"J57097000030","2017/6/7","新竹縣","30-106-060001","2017/2/23","水污染防治法第22條，水污染防治措施及檢測申報管理辦法第93條第1項，水污染防治措施及檢測申報管理辦法第94條第1項",6000,"否","","","","泉辰股份有限公司","泉辰股份有限公司","","","","","","","","",,,,,"","","",""
105,"J57097000030","2016/11/15","新竹縣","30-105-110001","2016/7/28","水污染防治法第7條第1項，水污染防治法第18條(之1)第1項",1680000,"否","","","","泉辰股份有限公司新埔廠","泉辰股份有限公司","","","","","","","","",,,,,"","","",""
106,"J57097000030","2016/11/15","新竹縣","30-105-110002","2016/7/28","水污染防治法第14條第1項",243000,"否","","","","泉辰股份有限公司新埔廠","泉辰股份有限公司","","","","","","","","",,,,,"","","",""
107,"J57097000030","2014/10/15","新竹縣","30-103-100004","2014/9/2","水污染防治法第18條",10000,"否","","","","泉辰股份有限公司新埔廠","泉辰股份有限公司","","","","","","","","",,,,,"","","",""
108,"J5700339","2015/3/30","新竹縣","30-104-030008","2015/3/4","水污染防治法第8條",6000,"否","","","","清彥牧場","清彥牧場","清彥牧場","新竹縣新埔鎮照門里十五鄰三十二之三號","新竹縣","新埔鎮","畜牧業(豬飼育業)","非屬工業區類","水污染;","新竹縣新埔鎮照門里照門段石門小段283地號",262768,2750120,262768,2750120,"屬於水污法定義範圍內之列管事業","畜牧業","新埔鎮","霄裡溪"
109,"J5700339","2013/7/24","新竹縣","30-102-070004","2013/5/14","水污染防治法第7條第1項",6000,"否","","","","清彥牧場","清彥牧場","清彥牧場","新竹縣新埔鎮照門里十五鄰三十二之三號","新竹縣","新埔鎮","畜牧業(豬飼育業)","非屬工業區類","水污染;","新竹縣新埔鎮照門里照門段石門小段283地號",262768,2750120,262768,2750120,"屬於水污法定義範圍內之列管事業","畜牧業","新埔鎮","霄裡溪"
110,"J5700375","2015/11/20","新竹縣","30-104-110015","2015/10/13","水污染防治法第18條",120000,"否","","","","范光勇養豬場","范光勇養豬場","范光勇養豬場","新竹縣新埔鎮鹿鳴里５６號","新竹縣","新埔鎮","畜牧業(豬飼育業)","非屬工業區類","水污染;廢棄物;","新竹縣新埔鎮鹿鳴坑段黃梨園小段195-10、197地號",263764,2748617,263764,2748617,"屬於水污法定義範圍內之列管事業","畜牧業","新埔鎮","霄裡溪"
111,"J5700375","2015/11/20","新竹縣","30-104-110016","2015/10/13","水污染防治法第14條第2項",10000,"否","","","","范光勇養豬場","范光勇養豬場","范光勇養豬場","新竹縣新埔鎮鹿鳴里５６號","新竹縣","新埔鎮","畜牧業(豬飼育業)","非屬工業區類","水污染;廢棄物;","新竹縣新埔鎮鹿鳴坑段黃梨園小段195-10、197地號",263764,2748617,263764,2748617,"屬於水污法定義範圍內之列管事業","畜牧業","新埔鎮","霄裡溪"
